time,magnetizing current,I1 A,I2 A,Q1,Q2,Q3,Q4
6.925000000000001e-06,-0.3725647267120502,-21.631206191733074,148.8104902551472,0,1,1,0
6.95e-06,-0.3973475760546521,-21.710453106996653,149.191738716594,0,1,1,0
6.975000000000001e-06,-0.422428069960531,-21.790071464185925,149.57350375957776,0,1,1,0
7.000000000000001e-06,-0.44781715152712864,-21.870072507057653,149.95578748871367,0,1,1,0
7.0250000000000005e-06,-0.47352644951210704,-21.95046816707534,150.33859202294263,0,1,1,0
7.05e-06,-0.49956833991065125,-22.03146982665729,150.72331040722645,0,1,1,0
7.075000000000001e-06,-0.525956014819258,-22.113121261029132,151.11015672346912,0,1,1,0
7.100000000000001e-06,-0.5527035596669263,-22.195441646775894,151.49916660976277,0,1,1,0
7.125e-06,-0.5798260400892067,-22.278451284240056,151.89037670905594,0,1,1,0
7.150000000000001e-06,-0.6073395999566201,-22.362171701276544,152.28382470923947,0,1,1,0
7.175000000000001e-06,-0.6352615723568382,-22.44662577025837,152.6795493853107,0,1,1,0
7.2000000000000005e-06,-0.6636106056830096,-22.531837840504352,153.0775906437494,0,1,1,0
7.225e-06,-0.6924068074159071,-22.617833888737085,153.47798956924825,0,1,1,0
7.250000000000001e-06,-0.7216719087275792,-22.704641690720873,153.88078847395306,0,1,1,0
7.275000000000001e-06,-0.751429453708384,-22.792291017905338,154.2860309493787,0,1,1,0
7.3e-06,-0.7817050178667131,-22.880813863749704,154.69376192118094,0,1,1,0
7.325000000000001e-06,-0.8125264616235488,-22.970244705477587,155.10402770697826,0,1,1,0
7.350000000000001e-06,-0.8439242258926093,-23.060607254546888,155.51678120057994,0,1,1,0
7.3750000000000005e-06,-0.8759316785970614,-23.151900810642108,155.9317839243153,0,1,1,0
7.4e-06,-0.9085855232574793,-23.244167378325024,156.34907298547282,0,1,1,0
7.425000000000001e-06,-0.9419262837763872,-23.337452929754903,156.76868652184962,0,1,1,0
7.450000000000001e-06,-0.9759988835007095,-23.43180798953422,157.1906637422346,0,1,1,0
